Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_AE_Ouvertes;AE_Consommees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Écologie, développement et mobilité durables;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables - 217;Autres titres - Autres dépenses;272417371;-12966314;2079085,37;-7150140;7045672,7;0;261425675,07;199181821,69;0;10443934,9;51799918,48
Écologie, développement et mobilité durables;Énergie, climat et après-mines - 174;Autres titres - Autres dépenses;5817177062;-950000000;340578;-12476885;0;0;4855040755;4353324837,32;0;101413339,68;400302578
Écologie, développement et mobilité durables;Expertise, information géographique et météorologie - 159;Autres titres - Autres dépenses;515548889;-11227596;294962;188855;19813,41;0;504824923,41;504713871,01;0;111052,4;0
Écologie, développement et mobilité durables;Fonds d'accélération de la transition écologique dans les territoires - 380;Autres titres - Autres dépenses;2499000000;-900000000;0;-1685600;0;0;1597314400;1590610760,75;0;6703639,25;0
Écologie, développement et mobilité durables;Infrastructures et services de transports - 203;Autres titres - Autres dépenses;4344085635;-292243467;2426878799,03;-68246;4671927445,3;0;11150580166,33;8650285598,5;0;29277618,45;2471016949,38
Écologie, développement et mobilité durables;Paysages, eau et biodiversité - 113;Autres titres - Autres dépenses;577954847;-123728262;8317173,97;713400;6283473,86;0;469540632,83;454123528,5;0;9303196,68;6113907,65
Écologie, développement et mobilité durables;Prévention des risques - 181;Titre 2 - Dépenses de personnel;57036316;0;0;0;0;-8829807;48206509;47633826,72;0;572682,28;0
Écologie, développement et mobilité durables;Prévention des risques - 181;Autres titres - Autres dépenses;1299909174;-60000000;11654461,96;-61566;3503419,26;8829807;1263835296,22;1225495380,37;0;23942197,75;14397718,1
Écologie, développement et mobilité durables;Service public de l'énergie - 345;Autres titres - Autres dépenses;5539000000;-666877435;830000000;0;0;0;5702122565;5702122565;0;0;0
Économie;Développement des entreprises et régulations - 134;Titre 2 - Dépenses de personnel;413728612;-8596515;0;736223;0;0;405868320;403437597,85;0;2430722,15;0
Économie;Développement des entreprises et régulations - 134;Autres titres - Autres dépenses;2533218953;20750541;1008274881;-17618569;61968;0;3544687774;3532555890,92;0;4072338,08;8059545
Économie;Financement des opérations patrimoniales envisagées en 2024 sur le compte d'affectation spéciale "Participations financières de l'État" - 367;Autres titres - Autres dépenses;0;-161000000;2000000000;0;0;0;1839000000;0;0;0;1839000000
Économie;Plan France Très haut débit - 343;Autres titres - Autres dépenses;96935000;-37811505;20200000;0;0;0;79323495;74965668;0;0;4357827
Économie;Statistiques et études économiques - 220;Titre 2 - Dépenses de personnel;395926581;-5490268;782329;0;673489,51;0;391892131,51;386701905,92;0;3734407,59;1455818
Économie;Statistiques et études économiques - 220;Autres titres - Autres dépenses;89833728;-6727481;2160181,75;-1618129;8910115,69;0;92558415,44;79523315,87;0;5102593,17;7932506,4
