Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
550106;Exonération des rachats de parts de fonds communs de placement et de parts de fonds de placement immobilier;Droits d'enregistrement et de timbre;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
570202;Gratuité de l’enregistrement applicable à certaines opérations concernant les sociétés transparentes et les sociétés civiles immobilières régies par l'article L. 443-6-2 et suivants du Code de la construction et de l'habitation;Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
580102;Suppression du prélèvement de 20 % sur les capitaux décès lorsque le bénéficiaire est exonéré de droit de mutation à titre gratuit;Droits d'enregistrement et de timbre;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;105;95;105
580103;Application d'un abattement d'assiette proportionnel de 20% aux contrats d'assurance-vie en unités de compte dénommés "vie-génération" dont les actifs sont investis en partie dans le logement social ou intermédiaire, l'économie sociale et solidaire, le capital-risque ou dans des entreprises de taille intermédiaire;Droits d'enregistrement et de timbre;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
590101;Exonérations de taxe d’archéologie préventive;Droits d'enregistrement et de timbre;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
710101;Exonération des transports maritimes de personnes et de marchandises en Guadeloupe, en Martinique et à La Réunion;Taxe sur la valeur ajoutée;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
710102;Exonération de certains produits et matières premières ainsi que des produits pétroliers en Guadeloupe, en Martinique et à La Réunion;Taxe sur la valeur ajoutée;Outre-mer;138;Emploi outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;115;110;115
710103;Niveau des taux en Guadeloupe, en Martinique et à La Réunion (8,5 % pour le taux normal et 2,1 % pour le taux réduit);Taxe sur la valeur ajoutée;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1940;1530;1950
710105;Non applicabilité provisoire de la TVA en Guyane et à Mayotte;Taxe sur la valeur ajoutée;Outre-mer;138;Emploi outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;160;125;160
710107;Exonération de TVA des ventes et importations de riz à La Réunion;Taxe sur la valeur ajoutée;Outre-mer;138;Emploi outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
710108;Exonération des livraisons de biens dans certaines communes de Guadeloupe ou de Martinique réalisées auprès des touristes effectuant une croisière;Taxe sur la valeur ajoutée;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;ε;ε
710109;Exclusion de la base d'imposition des marges commerciales sur la distribution de tabac en Guadeloupe, en Martinique et à La Réunion;Taxe sur la valeur ajoutée;Gestion des finances publiques;302;Facilitation et sécurisation des échanges;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;17;25;17
710110;Taux de 2,10 % applicable à certaines opérations relatives au logement social outre-mer qui sont éligibles soit aux prêts locatifs sociaux, soit au crédit d’impôt sur les sociétés en faveur de l’investissement dans les logements neufs outre-mer;Taxe sur la valeur ajoutée;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;15;16;15
720106;Exonération des associations intermédiaires conventionnées, visées à l'article L. 5132-7 du code du travail dont la gestion est désintéressée;Taxe sur la valeur ajoutée;Travail et emploi;102;Accès et retour à l'emploi;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;20;20;20
720107;Exonération des services rendus aux personnes physiques par les associations agréées en application de l'article L. 7232-1 du code du travail;Taxe sur la valeur ajoutée;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;235;320;240
720108;Exonération des prestations de services et des livraisons de biens qui leur sont étroitement liées, effectuées dans le cadre de la garde d'enfants par les établissements visés aux deux premiers alinéas de l'article L. 2324-1 du code de la santé publique et assurant l'accueil des enfants de moins de trois ans;Taxe sur la valeur ajoutée;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;55;55;55
720201;Exonération de la partie du trajet effectué à l'intérieur de l'espace maritime national pour les transports aériens ou maritimes de personnes et de marchandises en provenance ou à destination de la Corse;Taxe sur la valeur ajoutée;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;3;3
720203;Exonération des publications des collectivités publiques et des organismes à but non lucratif;Taxe sur la valeur ajoutée;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;ε;-;-
720206;Exonération avec droit à déduction de la vente des produits de leur pêche par les pêcheurs et armateurs à la pêche, à l'exception des pêcheurs en eau douce;Taxe sur la valeur ajoutée;Écologie, développement et mobilité durables;205;Affaires maritimes, pêche et aquaculture;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
720207;Exonération de TVA sur les objets d'art, de collection et d'antiquité, importés par les établissements agréés par le ministre chargé des affaires culturelles;Taxe sur la valeur ajoutée;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;1;2
730205;Taux de 10 % pour les prestations d’hébergement fournies dans le cadre du secteur hôtelier ou de secteurs ayant une fonction similaire et pour les locations de logements meublés à usage résidentiel assorties de prestations annexes;Taxe sur la valeur ajoutée;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;465;440;470
730206;Taux de 10% applicable à la fourniture de logements dans les terrains de camping classés;Taxe sur la valeur ajoutée;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;151;136;152
730207;Taux de 10% pour les recettes provenant de la fourniture des repas par les cantines d'entreprises ou d'administrations;Taxe sur la valeur ajoutée;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Enseignement scolaire;230;Vie de l'élève;Recherche et enseignement supérieur;231;Vie étudiante;171;159;172
730208;Taux de 10% pour les prestations de soins dispensées par les établissements thermaux autorisés;Taxe sur la valeur ajoutée;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;11;10;11
730210;Taux de 10 % dans le secteur du logement locatif social pour les opérations qui ne sont pas éligibles au taux réduit de 5,5 %;Taxe sur la valeur ajoutée;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;460;nc;460
730212;Taux de 10% applicable aux engrais, aux amendements calcaires et produits phytopharmaceutiques utilisables en agriculture biologique et aux matières fertilisantes ou supports de culture d'origine organique agricole;Taxe sur la valeur ajoutée;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
730213;Taux de 10 % pour les travaux d’amélioration, de transformation, d’aménagement et d’entretien, autres que les travaux de rénovation énergétiques soumis au taux de 5,5 % en application de l’article 278-0 bis A, portant sur les logements achevés depuis plus de deux ans;Taxe sur la valeur ajoutée;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2150;2240;2170
730214;Taux de 10% pour les services d'aide à la personne fournis par des associations, des entreprises ou des organismes déclarés en application de l'article L. 7232-1-1 du code du travail;Taxe sur la valeur ajoutée;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;74;76;78
730216;Taux de 5,5 % dans le secteur de l’accession sociale à la propriété et dans le secteur du logement locatif social pour les logements financés par un prêt locatif aidé d’intégration (PLAI), pour les logements financés par un prêt locatif à usage social (PLUS) lorsqu’ils relèvent de la politique de renouvellement urbain, ainsi que pour certains travaux portant sur ces logements ou participant au renouvellement urbain;Taxe sur la valeur ajoutée;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;490;nc;495
730218;Taux de 5,5% pour la fourniture par réseaux d'énergie calorifique d'origine renouvelable;Taxe sur la valeur ajoutée;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;62;44;62
730221;Taux de 10% pour la restauration commerciale (consommation sur place et vente à emporter en vue d'une consommation immédiate);Taxe sur la valeur ajoutée;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2000;1536;2015
730222;Taux de 10 % pour les ventes et livraisons à soi-même, à des investisseurs dotés de la personnalité morale, de logements locatifs intermédiaires situés dans des zones caractérisées par un déséquilibre important entre l’offre et la demande de logement ou en cours de revitalisation et de réindustrialisation, lorsqu’ils répondent à des critères de mixité avec des logements locatifs sociaux, ainsi que pour les livraisons de logements locatifs intermédiaires à l’association foncière logement, ou aux sociétés qu’elle contrôle, lorsqu’ils sont situés dans des quartiers ciblés de la politique de la ville ou à leur proximité;Taxe sur la valeur ajoutée;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;125;110;160
730223;Taux de 5,5% pour les travaux d'amélioration de la qualité énergétique des locaux à usage d'habitation achevés depuis plus de deux ans ainsi que sur les travaux induits qui leur sont indissociablement liés;Taxe sur la valeur ajoutée;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;970;1010;975
730224;Taux de 5,5 % pour les droits d’entrée aux réunions sportives;Taxe sur la valeur ajoutée;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;122;60;123
730226;Taux de 5,5 % applicable aux prestations de collecte séparée, de collecte en déchetterie, de tri et de valorisation matière des déchets des ménages et assimilés;Taxe sur la valeur ajoutée;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;67;47;68
730227;Taux de 5,5 % dans le secteur social et médico-social;Taxe sur la valeur ajoutée;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
730228;Taux de 5,5 % applicable aux livraisons d'œuvres d'art ou d'objets de collection ou d'antiquité, sauf lorsqu’elles sont soumises au régime particulier de la marge bénéficiaire;Taxe sur la valeur ajoutée;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;56;nc;57
730230;Taux de 10 % applicable aux droits d’admission aux expositions, sites et installations à caractère culturel, ludique, éducatif et professionnel ainsi qu’aux loteries foraines;Taxe sur la valeur ajoutée;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;205;190;205
730231;Taux de 5,5 % applicable aux droits d’entrée dans les théâtres, les cirques, les concerts, les spectacles de variété, les salles de cinéma, les parcs zoologiques et les compétitions de jeux vidéos;Taxe sur la valeur ajoutée;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;315;280;320
730232;Taux de 10 % applicable aux livraisons de bois de chauffage et produits de bois assimilés;Taxe sur la valeur ajoutée;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;107;80;108
730233;Taux de 10 % applicable aux abonnements souscrits pour recevoir des services de télévision;Taxe sur la valeur ajoutée;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;160;175;160
730234;Taux de 5,5 % pour les prestations de pose, d’installation et d’entretien d’infrastructures de recharge pour véhicules électriques;Taxe sur la valeur ajoutée;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;3;3
730235;Taux de 5,5 % pour l'enseignement et la pratique de l’équitation, les animations et les activités de démonstration aux fins de découverte de l'environnement équestre et de familiarisation avec celui-ci ainsi que l'accès aux installations sportives destinées à l'utilisation des équidés;Taxe sur la valeur ajoutée;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;65
730301;Taux de 2,10 % applicable aux droits d'entrée des 140 premières représentations de certains spectacles;Taxe sur la valeur ajoutée;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;39;33;39
730302;Taux de 2,10 % applicable aux ventes d'animaux de boucherie et de charcuterie à des personnes non assujetties à la TVA;Taxe sur la valeur ajoutée;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;3;3
730305;Taux de 2,10 % applicable aux publications de presse;Taxe sur la valeur ajoutée;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;57;60;57
730306;Taux particuliers applicables à divers produits et services consommés ou utilisés en Corse;Taxe sur la valeur ajoutée;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;197;140;198
740102;Franchise en base pour les avocats et les avocats au Conseil d'Etat et à la Cour de cassation dont le chiffre d'affaires n'excède pas la limite fixée au III de l'article 293 B du CGI;Taxe sur la valeur ajoutée;Justice;101;Accès au droit et à la justice;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;4;7
740103;Franchise en base pour les auteurs et les interprètes des oeuvres de l'esprit dont le chiffre d'affaires n'excède pas la limite fixée au III de l'article 293 B du CGI;Taxe sur la valeur ajoutée;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;6;3;6
740105;Franchise en base pour les activités lucratives accessoires des associations sans but lucratif lorsque les recettes correspondantes n'excèdent pas un seuil de chiffre d'affaires, indexé, chaque année, sur la prévision de l'indice des prix à la consommation, hors tabac, retenue dans le projet de loi de finances de l'année;Taxe sur la valeur ajoutée;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;65;85;65
800117;Tarif réduit (nul) pour les produits énergétiques (hors gaz naturels et charbons) utilisés pour la navigation intérieure à des fins commerciales ou pour les besoins des autorités publiques;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;49;52;49
800118;Tarif particulier (nul) pour divers gaz à usage combustible (gaz de houille, gaz à l'eau, gaz pauvres et gaz similaires);Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
800119;Tarif réduit (nul) pour les produits énergétiques (hors gaz naturels et charbons) destinés aux moteurs d'aéronefs et de navires lorsqu'ils sont utilisés dans le cadre de la construction, du développement, de la mise au point, des essais ou de l'entretien des aéronefs et navires et de leurs moteurs;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;23;20;23
800120;Tarif réduit (nul) pour les gazoles et essences consommés pour les besoins de la propulsion des véhicules d’incendie et de secours;Accise sur les énergies;Sécurités;161;Sécurité civile;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;30
800201;Tarif réduit des gazoles non routiers autres que celui utilisé pour les usages agricoles;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1238;777;1050
800209;Tarif réduit (remboursement) pour les gazoles utilisés pour les engins à l’arrêt équipant les véhicules de transport de marchandises et les véhicules à usages spéciaux (dépanneuses, camions-grues…);Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;N/A
800210;Tarifs réduits pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;-;-
800211;Tarif réduit pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;-;-
800212;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;152;146;152
800214;Tarif particulier pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
800215;Tarif particulier pour le B100, carburant diesel synthétisé à partir d'acides gras;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;97;64;97
800216;Tarif particulier pour le superéthanol  E85, carburant essence comprenant au moins 65 % d'éthanol;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;431;483;431
800220;Tarif réduit (remboursement) pour les carburants utilisés par les taxis;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;50;67;50
800221;Tarif réduit (remboursement) pour les gazoles utilisés comme carburant par les véhicules routiers de transport de marchandises d'au moins 7,5 tonnes;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1272;1353;1272
800222;Tarif réduit (remboursement) pour les gazoles utilisés comme carburant des véhicules de transport public collectif de voyageurs;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;183;175;183
800224;Tarif réduit (remboursement) pour les gazoles utilisés dans les massifs montagneux pour le damage des pistes et le déneigement des voies ouvertes à la circulation publique;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;nc;nc
800225;Tarif réduit pour les gazoles utilisés pour le transport ferroviaire de personnes ou de marchandises sur le réseau ferré national;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;60;60
800226;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de certaines activités extractives soumises à une forte concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;9;9
800227;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de l'activité de manutention portuaire dans les ports maritimes et certains ports fluviaux exposés à la concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;4;4
800228;Minoration de tarif  pour les essences commercialisées en Corse;Accise sur les énergies;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
800229;Tarif réduit (remboursement) pour les gazoles, les fiouls lourds et les gaz de pétrole liquéfiés utilisés pour les travaux agricoles et forestiers;Accise sur les énergies;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1135;1627;1135
800401;Réduction du champ de l'accise sur les produits énergétiques à usage carburants, dans les collectivités régies par l'article 73 de la Constitution, aux seuls essences et gazoles et faculté pour ces collectivités de minorer les tarifs;Accise sur les énergies;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1158;2022;1158
820201;Tarifs réduits pour l'électricité consommée par les installations industrielles exploitées par des entreprises electro-intensives relevant de secteurs fortement exposés à la concurrence internationale (niveau d'électro-intensité au moins égal à 0,5 %);Accise sur les énergies;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;N/A;73
820202;Tarif réduit pour l’électricité consommée par les installations hyperélectro-intensives (niveau d'électro-intensité au moins égal à 13,5 %);Accise sur les énergies;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;N/A;63
820203;Tarif réduit pour l’électricité consommée par les installations industrielles situées au sein de sites industriels électro-intensifs ou d'entreprises industrielles électro-intensives;Accise sur les énergies;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;N/A;342
820204;Tarif réduit pour l’électricité consommée par les transports collectifs ferroviaires et routiers (train, métro, tramway, câble, autobus hybride rechargeable et électrique, trolleybus);Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;N/A;123
820205;Tarif réduit pour l’électricité consommée par les exploitants d'aérodromes électro-intensifs ouverts à la circulation aérienne publique (niveau d'électro-intensivité au moins égal à 0,5%);Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;1
820206;Tarif réduit pour l’électricité consommée par les centres de stockage de données numériques performants sur le plan énergétique;Accise sur les énergies;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;N/A;32
820207;Tarif réduit pour l’électricité directement fournie, lors de leur stationnement à quai dans les ports, aux navires utilisés à des fins commerciales ou pour les besoins des autorités publiques;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;N/A;ε
820208;Tarif réduit pour l'électricité consommée pour les besoins de l'activité de manutention portuaire dans les ports maritimes et certains ports fluviaux exposés à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;205;Affaires maritimes, pêche et aquaculture;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;N/A;ε
820209;Tarif réduit pour l'électricité fournie aux aéronefs lors de leur stationnement dans les aérodromes ouverts à la circulation aérienne publique;Accise sur les énergies;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;N/A;nc
830101;Tarif particulier (nul) de l'usage combustible du biogaz non injecté dans le réseau de gaz naturel;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4;11;4
830201;Tarif réduit pour les gaz naturels consommés comme combustible dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS pour les installations fixes (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;363;872;668
830202;Tarif réduit pour les gaz naturels consommés comme combustible dans les installations grandes consommatrices d'énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;48;117;110
830203;Tarif réduit sur les gaz naturels consommés comme combustibles pour les besoins de la déshydratation de légumes et plantes aromatiques;Accise sur les énergies;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;ε;1
830204;Tarif réduit (remboursement) pour les gaz naturels utilisés comme carburants ou combustibles pour les travaux agricoles et forestiers;Accise sur les énergies;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;15;3
840101;Tarif réduit (nul) pour les charbons consommés pour les besoins de la valorisation de la biomasse par les entreprises soumises au régime des quotas d'émision de gaz à effet de serre du dispositif ETS (ou à un dispositif poursuivant des objectifs équivalents) et dont les achats de combustibles et d'électricité utilisés pour cette valorisation représentent au moins 3 % de leur valeur de production;Accise sur les énergies;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;1;2
